model,variable,variable_label,coefficient,std_error,ci_lower_95,ci_upper_95,p_value,observations,countries,year_start,year_end,country_fixed_effects,year_fixed_effects,standard_errors,r_squared,adjusted_r_squared
R4_untransformed_gdp,total_expenditure,Total expenditure,-0.032471862959856254,0.04465975685896787,-0.12000337796174892,0.05505965204203642,0.4671680763270245,2319,157,2000,2015,True,True,cluster_country,0.9593548056108878,0.9560356693448614
R4_untransformed_gdp,polio,Polio coverage,0.004884818700682086,0.003359408902689945,-0.0016995017579334287,0.011469139159297601,0.145926652590019,2319,157,2000,2015,True,True,cluster_country,0.9593548056108878,0.9560356693448614
R5_exclude_gdp,schooling,Schooling,0.1310992802924592,0.11175632142246661,-0.08793908474025744,0.3501376453251759,0.24076309895435066,2574,173,2000,2015,True,True,cluster_country,0.9554134531965591,0.9518585040179381
R5_exclude_gdp,total_expenditure,Total expenditure,-0.03810148870217248,0.04368687964461624,-0.1237261994025563,0.047523221998211344,0.38312684416366616,2574,173,2000,2015,True,True,cluster_country,0.9554134531965591,0.9518585040179381
R5_exclude_gdp,polio,Polio coverage,0.008062266524662494,0.003906807054493092,0.0004050654033090212,0.015719467646015967,0.039051298261824005,2574,173,2000,2015,True,True,cluster_country,0.9554134531965591,0.9518585040179381
R6_income_composition_replaces_schooling,income_composition_of_resources,Income composition of resources,0.3636631165836781,0.7333230866770936,-1.0736237223351697,1.800949955502526,0.6199570785428263,2319,157,2000,2015,True,True,cluster_country,0.9592049322402765,0.955873557131573
R6_income_composition_replaces_schooling,log1p_gdp,log(1 + GDP),-0.013697646655615264,0.037468420092285515,-0.0871344005941118,0.059739107282881274,0.7146796636969331,2319,157,2000,2015,True,True,cluster_country,0.9592049322402765,0.955873557131573
R6_income_composition_replaces_schooling,total_expenditure,Total expenditure,-0.034546943788898304,0.04477617797937635,-0.1223066399938314,0.05321275241603479,0.44038253707443886,2319,157,2000,2015,True,True,cluster_country,0.9592049322402765,0.955873557131573
R6_income_composition_replaces_schooling,polio,Polio coverage,0.00497413451244209,0.003400900701712701,-0.0016915083779118012,0.011639777402795981,0.1435787031320877,2319,157,2000,2015,True,True,cluster_country,0.9592049322402765,0.955873557131573
R7_diphtheria_replaces_polio,schooling,Schooling,0.1283936704764569,0.11966172896480368,-0.10613900862235173,0.3629263495752655,0.28328373237629967,2319,157,2000,2015,True,True,cluster_country,0.9594950331153702,0.9561873479987999
