variable,country,missing_count,missing_rate
alcohol,Argentina,1,0.0625
alcohol,Armenia,1,0.0625
alcohol,Australia,1,0.0625
alcohol,Austria,1,0.0625
alcohol,Azerbaijan,1,0.0625
alcohol,Bahamas,1,0.0625
alcohol,Bahrain,1,0.0625
alcohol,Bangladesh,1,0.0625
alcohol,Barbados,1,0.0625
alcohol,Belarus,1,0.0625
alcohol,Belgium,1,0.0625
alcohol,Belize,1,0.0625
alcohol,Benin,1,0.0625
alcohol,Bhutan,1,0.0625
alcohol,Bolivia (Plurinational State of),1,0.0625
alcohol,Bosnia and Herzegovina,1,0.0625
alcohol,Botswana,1,0.0625
alcohol,Brazil,1,0.0625
alcohol,Brunei Darussalam,1,0.0625
alcohol,Bulgaria,1,0.0625
alcohol,Burkina Faso,1,0.0625
alcohol,Burundi,1,0.0625
alcohol,Cabo Verde,1,0.0625
alcohol,Cambodia,1,0.0625
alcohol,Cameroon,1,0.0625
alcohol,Canada,1,0.0625
alcohol,Central African Republic,1,0.0625
alcohol,Chad,1,0.0625
alcohol,Chile,1,0.0625
alcohol,China,1,0.0625
alcohol,Colombia,1,0.0625
alcohol,Comoros,1,0.0625
alcohol,Congo,1,0.0625
alcohol,Cook Islands,0,0.0
alcohol,Costa Rica,1,0.0625
alcohol,Croatia,1,0.0625
alcohol,Cuba,1,0.0625
alcohol,Cyprus,1,0.0625
alcohol,Czechia,1,0.0625
alcohol,Côte d'Ivoire,1,0.0625
alcohol,Democratic People's Republic of Korea,1,0.0625
alcohol,Democratic Republic of the Congo,1,0.0625
alcohol,Denmark,1,0.0625
alcohol,Djibouti,1,0.0625
alcohol,Dominica,0,0.0
alcohol,Dominican Republic,1,0.0625
alcohol,Ecuador,1,0.0625
alcohol,Egypt,1,0.0625
alcohol,El Salvador,1,0.0625
alcohol,Equatorial Guinea,1,0.0625
alcohol,Eritrea,1,0.0625
alcohol,Estonia,1,0.0625
alcohol,Ethiopia,1,0.0625
alcohol,Fiji,1,0.0625
alcohol,Finland,1,0.0625
alcohol,France,1,0.0625
alcohol,Gabon,1,0.0625
alcohol,Gambia,1,0.0625
alcohol,Georgia,1,0.0625
alcohol,Germany,1,0.0625
alcohol,Ghana,1,0.0625
alcohol,Greece,1,0.0625
alcohol,Grenada,1,0.0625
alcohol,Guatemala,1,0.0625
alcohol,Guinea,1,0.0625
alcohol,Guinea-Bissau,1,0.0625
alcohol,Guyana,1,0.0625
alcohol,Haiti,1,0.0625
alcohol,Honduras,1,0.0625
alcohol,Hungary,1,0.0625
alcohol,Iceland,1,0.0625
alcohol,India,1,0.0625
alcohol,Indonesia,1,0.0625
alcohol,Iran (Islamic Republic of),1,0.0625
alcohol,Iraq,1,0.0625
alcohol,Ireland,1,0.0625
alcohol,Israel,1,0.0625
alcohol,Italy,1,0.0625
alcohol,Jamaica,1,0.0625
alcohol,Japan,1,0.0625
alcohol,Jordan,1,0.0625
alcohol,Kazakhstan,1,0.0625
alcohol,Kenya,1,0.0625
alcohol,Kiribati,1,0.0625
alcohol,Kuwait,1,0.0625
alcohol,Kyrgyzstan,1,0.0625
alcohol,Lao People's Democratic Republic,1,0.0625
alcohol,Latvia,1,0.0625
alcohol,Lebanon,1,0.0625
alcohol,Lesotho,1,0.0625
alcohol,Liberia,1,0.0625
alcohol,Libya,1,0.0625
alcohol,Lithuania,1,0.0625
alcohol,Luxembourg,1,0.0625
alcohol,Madagascar,1,0.0625
alcohol,Malawi,1,0.0625
alcohol,Malaysia,1,0.0625
alcohol,Maldives,1,0.0625
alcohol,Mali,1,0.0625
alcohol,Malta,1,0.0625
alcohol,Marshall Islands,0,0.0
alcohol,Mauritania,1,0.0625
alcohol,Mauritius,1,0.0625
alcohol,Mexico,1,0.0625
alcohol,Micronesia (Federated States of),1,0.0625
alcohol,Monaco,0,0.0
alcohol,Mongolia,1,0.0625
alcohol,Montenegro,2,0.125
alcohol,Morocco,1,0.0625
alcohol,Mozambique,1,0.0625
alcohol,Myanmar,1,0.0625
alcohol,Namibia,1,0.0625
alcohol,Nauru,0,0.0
alcohol,Nepal,1,0.0625
alcohol,Netherlands,1,0.0625
alcohol,New Zealand,0,0.0
alcohol,Nicaragua,1,0.0625
alcohol,Niger,1,0.0625
alcohol,Nigeria,1,0.0625
alcohol,Niue,0,0.0
alcohol,Norway,0,0.0
alcohol,Oman,1,0.0625
alcohol,Pakistan,1,0.0625
alcohol,Palau,1,1.0
alcohol,Panama,1,0.0625
alcohol,Papua New Guinea,1,0.0625
