country,year,residual,abs_residual
Canada,2006,3.711210037710927,3.711210037710927
Malawi,2002,-3.703215579558716,3.703215579558716
Ethiopia,2002,-3.6382615650213737,3.6382615650213737
Zimbabwe,2006,-3.6209561269211363,3.6209561269211363
El Salvador,2006,3.5656406253727937,3.5656406253727937
Zimbabwe,2004,-3.5623528917627354,3.5623528917627354
Namibia,2014,3.5607520635206242,3.5607520635206242
Senegal,2005,3.5394471724373346,3.5394471724373346
Namibia,2003,-3.5007079245158153,3.5007079245158153
Lithuania,2006,3.477287987224315,3.477287987224315
Maldives,2000,-3.468270647792764,3.468270647792764
Iceland,2002,3.417793710183915,3.417793710183915
Niger,2002,-3.3864430210392626,3.3864430210392626
Malawi,2011,3.349582319750162,3.349582319750162
Liberia,2011,3.3455392515926334,3.3455392515926334
Russian Federation,2014,3.3361043780971897,3.3361043780971897
Rwanda,2011,3.330604456909846,3.330604456909846
Trinidad and Tobago,2011,3.319857671560115,3.319857671560115
Cambodia,2001,-3.3193402034657993,3.3193402034657993
Lesotho,2005,-3.3178682642518282,3.3178682642518282
Iraq,2009,3.310314497261203,3.310314497261203
Nicaragua,2002,3.303485179097464,3.303485179097464
Switzerland,2002,3.3015712916091786,3.3015712916091786
Kenya,2014,3.291556770840117,3.291556770840117
Vanuatu,2008,3.285807881191701,3.285807881191701
Guatemala,2009,3.2814970085707102,3.2814970085707102
Zambia,2005,-3.2748459865569046,3.2748459865569046
Swaziland,2003,-3.260676151015552,3.260676151015552
Papua New Guinea,2005,3.238260751608294,3.238260751608294
Kenya,2013,3.229860951757523,3.229860951757523
Samoa,2001,3.2286474226568913,3.2286474226568913
Guatemala,2007,3.200244597121511,3.200244597121511
Kenya,2001,-3.1971428458478144,3.1971428458478144
Norway,2007,3.1945878004530215,3.1945878004530215
Sweden,2005,3.181102992050029,3.181102992050029
Kenya,2002,-3.17897994196575,3.17897994196575
El Salvador,2002,3.1772914765692946,3.1772914765692946
Malawi,2003,-3.157943622210638,3.157943622210638
New Zealand,2011,3.1273271070636923,3.1273271070636923
Lesotho,2000,3.0989069924394883,3.0989069924394883
Israel,2006,3.0957592049646365,3.0957592049646365
Zambia,2011,3.085324694089678,3.085324694089678
Grenada,2000,3.062535469840242,3.062535469840242
Liberia,2000,-3.0338897551750392,3.0338897551750392
Latvia,2005,3.0249995291278253,3.0249995291278253
Ireland,2012,2.9706191364381027,2.9706191364381027
Botswana,2009,2.969485813911348,2.969485813911348
Ethiopia,2003,-2.9687262889615837,2.9687262889615837
Zambia,2009,2.9616744345191677,2.9616744345191677
Libya,2011,-2.958361119037022,2.958361119037022
Kenya,2012,2.947839214661826,2.947839214661826
Germany,2013,2.946938807248486,2.946938807248486
Rwanda,2010,2.942705054970858,2.942705054970858
Zimbabwe,2002,-2.925608222782607,2.925608222782607
Lesotho,2006,-2.910209095337173,2.910209095337173
Botswana,2005,-2.904641633947591,2.904641633947591
South Africa,2006,-2.8918636752468103,2.8918636752468103
Zimbabwe,2003,-2.891319348008601,2.891319348008601
Ethiopia,2013,2.890389545714193,2.890389545714193
Kenya,2003,-2.8893019837127767,2.8893019837127767
Uganda,2012,2.8859371478834746,2.8859371478834746
Germany,2012,2.858617076024842,2.858617076024842
Ethiopia,2014,2.834415549874244,2.834415549874244
Madagascar,2004,2.814737116661391,2.814737116661391
Zimbabwe,2007,-2.814225825620632,2.814225825620632
Malawi,2004,-2.813512699157677,2.813512699157677
Turkmenistan,2000,2.8074087087885076,2.8074087087885076
Niger,2003,-2.8007511915749035,2.8007511915749035
New Zealand,2009,2.779041225388923,2.779041225388923
Sri Lanka,2004,-2.7785581801053922,2.7785581801053922
Uganda,2003,-2.778087646623632,2.778087646623632
Ethiopia,2012,2.765911117527672,2.765911117527672
Central African Republic,2012,2.765888478967682,2.765888478967682
Rwanda,2005,-2.7604144969525066,2.7604144969525066
Australia,2003,2.741735820719015,2.741735820719015
South Africa,2007,-2.73934038493595,2.73934038493595
Cambodia,2002,-2.7373193347247877,2.7373193347247877
Burkina Faso,2001,2.724750908277386,2.724750908277386
Namibia,2002,-2.7238914413531887,2.7238914413531887
Israel,2007,2.70944796333346,2.70944796333346
Namibia,2011,2.7092751731065405,2.7092751731065405
Uganda,2004,-2.6852147757091913,2.6852147757091913
Namibia,2006,-2.6585809587187654,2.6585809587187654
South Africa,2005,-2.645191178146348,2.645191178146348
Swaziland,2002,-2.641205797430807,2.641205797430807
Mauritania,2004,2.6338897690078724,2.6338897690078724
Swaziland,2006,-2.6272343954199044,2.6272343954199044
Swaziland,2011,2.6266759309850016,2.6266759309850016
Turkey,2000,2.615642767838196,2.615642767838196
Kenya,2004,-2.6156201237622554,2.6156201237622554
Sweden,2013,-2.613303162207714,2.613303162207714
Sweden,2012,-2.56262771381364,2.56262771381364
Ukraine,2008,-2.557894103200667,2.557894103200667
Norway,2006,2.5432944017072856,2.5432944017072856
Norway,2014,-2.5387122386876513,2.5387122386876513
Kenya,2000,-2.533604393085497,2.533604393085497
Greece,2013,2.530506216904172,2.530506216904172
Guatemala,2013,-2.527423715385723,2.527423715385723
Cabo Verde,2001,2.5267540229765757,2.5267540229765757
Sierra Leone,2001,-2.5157901817742143,2.5157901817742143
Burkina Faso,2002,-2.5142672800225156,2.5142672800225156
