variable,year,missing_count,missing_rate
thinness_1_19_years,2009,2,0.01092896174863388
thinness_1_19_years,2010,2,0.01092896174863388
thinness_1_19_years,2011,2,0.01092896174863388
thinness_1_19_years,2012,2,0.01092896174863388
thinness_1_19_years,2013,4,0.02072538860103627
thinness_1_19_years,2014,2,0.01092896174863388
thinness_1_19_years,2015,2,0.01092896174863388
thinness_5_9_years,2000,2,0.01092896174863388
thinness_5_9_years,2001,2,0.01092896174863388
thinness_5_9_years,2002,2,0.01092896174863388
thinness_5_9_years,2003,2,0.01092896174863388
thinness_5_9_years,2004,2,0.01092896174863388
thinness_5_9_years,2005,2,0.01092896174863388
thinness_5_9_years,2006,2,0.01092896174863388
thinness_5_9_years,2007,2,0.01092896174863388
thinness_5_9_years,2008,2,0.01092896174863388
thinness_5_9_years,2009,2,0.01092896174863388
thinness_5_9_years,2010,2,0.01092896174863388
thinness_5_9_years,2011,2,0.01092896174863388
thinness_5_9_years,2012,2,0.01092896174863388
thinness_5_9_years,2013,4,0.02072538860103627
thinness_5_9_years,2014,2,0.01092896174863388
thinness_5_9_years,2015,2,0.01092896174863388
total_expenditure,2000,4,0.02185792349726776
total_expenditure,2001,4,0.02185792349726776
total_expenditure,2002,4,0.02185792349726776
total_expenditure,2003,3,0.01639344262295082
total_expenditure,2004,3,0.01639344262295082
total_expenditure,2005,3,0.01639344262295082
total_expenditure,2006,3,0.01639344262295082
total_expenditure,2007,3,0.01639344262295082
total_expenditure,2008,3,0.01639344262295082
total_expenditure,2009,3,0.01639344262295082
total_expenditure,2010,3,0.01639344262295082
total_expenditure,2011,3,0.01639344262295082
total_expenditure,2012,2,0.01092896174863388
total_expenditure,2013,2,0.010362694300518135
total_expenditure,2014,2,0.01092896174863388
total_expenditure,2015,181,0.9890710382513661
under_five_deaths,2000,0,0.0
under_five_deaths,2001,0,0.0
under_five_deaths,2002,0,0.0
under_five_deaths,2003,0,0.0
under_five_deaths,2004,0,0.0
under_five_deaths,2005,0,0.0
under_five_deaths,2006,0,0.0
under_five_deaths,2007,0,0.0
under_five_deaths,2008,0,0.0
under_five_deaths,2009,0,0.0
under_five_deaths,2010,0,0.0
under_five_deaths,2011,0,0.0
under_five_deaths,2012,0,0.0
under_five_deaths,2013,0,0.0
under_five_deaths,2014,0,0.0
under_five_deaths,2015,0,0.0
