country,year,life_expectancy,fitted,residual,studentized_residual,cooks_distance,influential_rule_4_over_n
Lesotho,2013,52.1,62.110309193457,-10.010309193456997,-1.696861367451831,0.004873893136737822,True
France,2007,89.0,76.02086193581738,12.97913806418262,2.197212544704246,0.0047898268553237585,True
Sierra Leone,2011,48.9,62.205057356523135,-13.305057356523136,-2.2522365471008157,0.004788960972665258,True
Nicaragua,2002,75.0,61.90489908274472,13.09510091725528,2.2164093707846018,0.004451516833188483,True
Ecuador,2004,74.4,63.83411434292276,10.565885657077246,1.7896138606886323,0.004304739039814051,True
Ecuador,2001,73.4,63.18503597049906,10.214964029500948,1.7304397533750562,0.0042630402136851105,True
Lesotho,2014,52.1,62.59569787583858,-10.49569787583858,-1.7775682484376583,0.0041462733579469176,True
Sierra Leone,2012,49.7,63.04477881266539,-13.344778812665389,-2.2580887156107496,0.004012925806834669,True
Lesotho,2012,52.2,67.24897521718061,-15.048975217180612,-2.5461452187975726,0.004005233094066243,True
Malawi,2006,47.1,63.942629216440935,-16.842629216440933,-2.8496839199059507,0.0039464643290496575,True
Panama,2014,77.6,68.06556907746241,9.534430922537581,1.6153758157520324,0.0039460335327959435,True
Madagascar,2005,69.0,57.436891108708465,11.563108891291535,1.9571609185353187,0.0038698524587271964,True
Nicaragua,2004,71.0,60.52100378244958,10.478996217550417,1.7742638299638016,0.003794656954454571,True
Lesotho,2002,46.4,62.67770401516652,-16.27770401516652,-2.7538457191740053,0.0037554650899412263,True
Uganda,2002,48.8,61.24480294942086,-12.444802949420861,-2.1056903678567873,0.0036509156329945177,True
Djibouti,2009,69.0,57.636500964573706,11.363499035426294,1.9231769580031484,0.0036260748578295938,True
Malawi,2007,48.5,61.096802735990934,-12.596802735990934,-2.131268463721114,0.003577202490148484,True
Swaziland,2003,45.9,60.04194632558335,-14.141946325583355,-2.3922677028953774,0.0035131767001311803,True
Bosnia and Herzegovina,2010,76.4,67.45127134168284,8.948728658317165,1.5160412627274695,0.003476228321314625,True
Malawi,2004,45.1,64.34090769890581,-19.240907698905808,-3.2558434024354614,0.00338537333157538,True
Lesotho,2009,49.4,66.45528064037359,-17.05528064037359,-2.8851854747068066,0.0033481421471154983,True
Italy,2001,79.8,70.22242271244787,9.577577287552131,1.6216863801720554,0.0033200106053379898,True
Zimbabwe,2002,44.8,61.54795235239816,-16.747952352398165,-2.8330933120353436,0.003318564230962659,True
Pakistan,2008,64.6,54.170111119197976,10.429888880802018,1.7653188300587423,0.0033179692690990517,True
Eritrea,2010,62.1,51.879571007665916,10.220428992334085,1.7299921936614564,0.003306085322752892,True
Greece,2001,78.7,70.13091400490511,8.569085995094895,1.4518385062589143,0.0032899735621463705,True
Malawi,2000,43.1,63.73244588702454,-20.632445887024538,-3.492061946577694,0.003268938722286899,True
Bosnia and Herzegovina,2009,76.1,67.46473375003019,8.635266249969803,1.4629167898941982,0.0032550632793484926,True
Botswana,2002,46.0,68.1398847418012,-22.139884741801197,-3.748343721310084,0.0032429234811064897,True
Zambia,2004,47.9,62.913971625057165,-15.013971625057167,-2.5394243644655914,0.0031917964987330065,True
Chile,2013,81.0,72.84003286746342,8.159967132536579,1.3828240631456037,0.0031855251131750273,True
Bangladesh,2003,66.8,56.56542847362712,10.234571526372875,1.7321944361770385,0.003179135117279527,True
Bangladesh,2002,66.3,56.22103168615192,10.07896831384808,1.7059552139433176,0.003172609890998223,True
Sierra Leone,2008,46.2,59.10874502060948,-12.90874502060948,-2.183434305022724,0.0031257766456138252,True
Malawi,2011,54.1,65.80617742674569,-11.70617742674569,-1.9803312674484512,0.003100403879806596,True
Malawi,2009,51.5,62.84622741980562,-11.346227419805622,-1.9195724647390058,0.0030920457051934924,True
Sierra Leone,2007,45.3,60.344478515391984,-15.044478515391987,-2.5444683952624247,0.0030722459193287623,True
Botswana,2003,46.4,70.67063626998113,-24.270636269981132,-4.111091898418097,0.003061932943370712,True
Niger,2013,69.0,54.69412436525586,14.30587563474414,2.419490851064166,0.003035904839817631,True
Malawi,2001,43.5,63.576373857449994,-20.076373857449994,-3.3974013932290017,0.003002525647630624,True
Sierra Leone,2010,48.1,60.30775761609187,-12.207757616091868,-2.064875219241195,0.0029889550994490794,True
Swaziland,2005,46.0,66.02857191583144,-20.028571915831435,-3.389267458491923,0.0029822075619529292,True
Niger,2011,59.4,50.4606237936903,8.939376206309696,1.5135805098780093,0.002932645583713103,True
Malawi,2012,55.3,65.4308290648823,-10.130829064882306,-1.7143122636889887,0.0029066377001675404,True
Lesotho,2010,51.1,67.85537101832129,-16.75537101832129,-2.8339824996279956,0.00290301551446351,True
